----------------------------------------
Begin Torque Prologue on nid25433
at Sat Oct 12 21:33:52 CDT 2019
Job Id:			10543640.bw
Username:		tra200
Group:			TRAIN_bayw
Job name:		sync_sgd_cifar100
Requested resources:	nodes=04:ppn=16:xk,walltime=04:00:00,neednodes=04:ppn=16:xk
Queue:			normal
Account:		bayw
End Torque Prologue:  0.104 elapsed
----------------------------------------




Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
3	26	0.013734	0.566400	0.013066	0.609560
2	26	0.013634	0.570500	0.012993	0.607200
1	26	0.013732	0.568600	0.013072	0.611580
0	27	0.013557	0.572100	0.012964	0.613640
3	27	0.013565	0.571600	0.012939	0.615680
2	27	0.013641	0.571800	0.013066	0.611960
1	27	0.013599	0.573000	0.013000	0.615600
0	28	0.013585	0.574800	0.012951	0.615560
3	28	0.013579	0.574200	0.012931	0.614900
2	28	0.013596	0.572600	0.012970	0.614860
1	28	0.013572	0.574500	0.012920	0.615280
0	29	0.013462	0.572300	0.012739	0.614240
3	29	0.013452	0.576100	0.012731	0.616400
2	29	0.013451	0.576200	0.012747	0.615520
1	29	0.013432	0.576000	0.012721	0.616540
0	30	0.013567	0.573500	0.012805	0.616120
3	30	0.013560	0.571000	0.012776	0.616300
2	30	0.013511	0.574000	0.012703	0.618960
1	30	0.013536	0.573400	0.012731	0.617240
0	31	0.013462	0.574500	0.012698	0.618440
3	31	0.013486	0.572000	0.012743	0.615200
2	31	0.013459	0.574200	0.012688	0.618320
1	31	0.013432	0.573200	0.012678	0.616740
0	32	0.013247	0.579200	0.012383	0.630240
3	32	0.013238	0.578900	0.012363	0.628540
2	32	0.013256	0.576500	0.012349	0.628520
1	32	0.013265	0.578400	0.012391	0.629540
0	33	0.013055	0.590400	0.012269	0.636760
3	33	0.013000	0.591300	0.012191	0.637780
2	33	0.013092	0.587700	0.012314	0.635220
1	33	0.013023	0.589800	0.012229	0.636980
0	34	0.013414	0.576300	0.012524	0.623800
3	34	0.013376	0.577100	0.012472	0.623400
2	34	0.013347	0.576600	0.012451	0.624120
1	34	0.013365	0.575500	0.012476	0.624820
0	35	0.013303	0.571500	0.012512	0.619040
3	35	0.013241	0.575100	0.012489	0.620020
2	35	0.013216	0.573400	0.012456	0.623680
1	35	0.013155	0.574200	0.012359	0.623100
0	36	0.013247	0.574300	0.012329	0.627980
3	36	0.013238	0.573100	0.012355	0.627640
2	36	0.013238	0.571700	0.012319	0.627720
1	36	0.013286	0.570200	0.012401	0.624480
0	37	0.012943	0.590900	0.012074	0.646440
3	37	0.012894	0.590300	0.012024	0.645000
2	37	0.012941	0.592200	0.012067	0.646220
1	37	0.012921	0.588200	0.012046	0.644340
0	38	0.013311	0.578400	0.012431	0.631560
3	38	0.013233	0.582200	0.012360	0.631920
2	38	0.013243	0.583200	0.012362	0.634360
1	38	0.013286	0.583700	0.012437	0.632160
0	39	0.013155	0.574100	0.012276	0.633260
3	39	0.013204	0.571300	0.012318	0.629820
2	39	0.013180	0.571400	0.012291	0.631640
1	39	0.013208	0.572100	0.012325	0.631840
0	40	0.012781	0.591200	0.011832	0.645260
3	40	0.012781	0.590500	0.011834	0.648340
